source_record_id,name,codename,core_count,thread_count,base_clock_ghz,boost_clock_ghz,socket,process_nm,l3_cache_mb,tdp_w,release_date,has_structured_specs,cores_raw,clock_raw,socket_raw,process_raw,l3_cache_raw,tdp_raw,release_raw,source_dataset
bd3480847916857190e6,Sempron 3400+ EE SFF,Manila,1,,1.8,1.8,AM2,90.0,,35.0,2006-05-23,True,1,1800 MHz,Socket AM2,90 nm,,35 W,"May 23rd, 2006",baraazaid/cpu-and-gpu-stats
6ca4a46abdffd20eeb04,Sempron 3500+,Palermo,1,,2.0,2.0,939,90.0,,62.0,2005-10-01,True,1,2000 MHz,Socket 939,90 nm,,62 W,"Oct 1st, 2005",baraazaid/cpu-and-gpu-stats
3f54928ecec47a6e0fbd,Sempron 3500+,Manila,1,,2.0,2.0,AM2,90.0,,62.0,2006-05-23,True,1,2000 MHz,Socket AM2,90 nm,,62 W,"May 23rd, 2006",baraazaid/cpu-and-gpu-stats
d38ab36d312ef6ec015c,Sempron 3500+ EE SFF,Manila,1,,2.0,2.0,AM2,90.0,,35.0,2006-05-23,True,1,2000 MHz,Socket AM2,90 nm,,35 W,"May 23rd, 2006",baraazaid/cpu-and-gpu-stats
cc9cafeb7bbf49da1d78,Sempron 3600+,Albany,1,,2.2,2.2,754,90.0,,62.0,2006-05-17,True,1,2.2 GHz,Socket 754,90 nm,,62 W,"May 17th, 2006",baraazaid/cpu-and-gpu-stats
288f6ecf616a35eb673a,Sempron 3600+,Manila,1,,2.0,2.0,AM2,90.0,,62.0,2006-05-23,True,1,2000 MHz,Socket AM2,90 nm,,62 W,"May 23rd, 2006",baraazaid/cpu-and-gpu-stats
2b31c8dad97f875b33a2,Sempron 3800+,Manila,1,,2.2,2.2,AM2,90.0,,62.0,2006-10-23,True,1,2.2 GHz,Socket AM2,90 nm,,62 W,"Oct 23rd, 2006",baraazaid/cpu-and-gpu-stats
c697c503f4e55b3275d9,Sempron 3850,,,,,,,,,,,False,,,,,,,,baraazaid/cpu-and-gpu-stats
9892eb5ca118f4377a85,Sempron LE-1100,Sparta,1,,1.9000000000000001,1.9000000000000001,AM2,65.0,,45.0,2007-08-01,True,1,1900 MHz,Socket AM2,65 nm,,45 W,"Aug 1st, 2007",baraazaid/cpu-and-gpu-stats
a4c035e620011ecb705b,Sempron LE-1150,Sparta,1,,2.0,2.0,AM2,65.0,,45.0,2007-08-01,True,1,2000 MHz,Socket AM2,65 nm,,45 W,"Aug 1st, 2007",baraazaid/cpu-and-gpu-stats
95cb18bf28ba9fd43f2a,Sempron LE-1200,Sparta,1,,2.1,2.1,AM2,65.0,,45.0,2007-08-01,True,1,2.1 GHz,Socket AM2,65 nm,,45 W,"Aug 1st, 2007",baraazaid/cpu-and-gpu-stats
6c4a7fdacd45f57a9637,Sempron LE-1250,Sparta,1,,2.2,2.2,AM2,65.0,,45.0,2007-10-08,True,1,2.2 GHz,Socket AM2,65 nm,,45 W,"Oct 8th, 2007",baraazaid/cpu-and-gpu-stats
048d964f47af57ca8948,Sempron LE-1300,Sparta,1,,2.3,2.3,AM2,65.0,,45.0,2007-10-08,True,1,2.3 GHz,Socket AM2,65 nm,,45 W,"Oct 8th, 2007",baraazaid/cpu-and-gpu-stats
5fe1ce1259098cd569cf,Sempron X2 2100,Brisbane,2,,1.8,1.8,AM2,65.0,,65.0,2008-03-01,True,2,1800 MHz,Socket AM2,65 nm,,65 W,"Mar 1st, 2008",baraazaid/cpu-and-gpu-stats
a13f1ba8f9db8e633568,Sempron X2 2200,Brisbane,2,,2.0,2.0,AM2,65.0,,65.0,2008-03-01,True,2,2000 MHz,Socket AM2,65 nm,,65 W,"Mar 1st, 2008",baraazaid/cpu-and-gpu-stats
4b91e10b51b66c991a07,Sempron X2 2300,Brisbane,2,,2.2,2.2,AM2,65.0,,65.0,2008-03-01,True,2,2.2 GHz,Socket AM2,65 nm,,65 W,"Mar 1st, 2008",baraazaid/cpu-and-gpu-stats
ec080fb9bc33f39bea6d,Sempron X2 240,Trinity,2,,2.9,3.3,FM2,32.0,,65.0,2012-01-01,True,2,2.9 to 3.3 GHz,Socket FM2,32 nm,,65 W,2012,baraazaid/cpu-and-gpu-stats
4043e0186588e7c02203,Turion 64 ML-28,Lancaster,1,,1.6,1.6,754,90.0,,32.0,2005-06-22,True,1,1600 MHz,Socket 754,90 nm,,32 W,"Jun 22nd, 2005",baraazaid/cpu-and-gpu-stats
de39f892841bf110fc70,Turion 64 ML-30,Lancaster,1,,1.6,1.6,754,90.0,,35.0,2005-03-10,True,1,1600 MHz,Socket 754,90 nm,,35 W,"Mar 10th, 2005",baraazaid/cpu-and-gpu-stats
9b966d6fafddf7fe5f96,Turion 64 ML-32,Lancaster,1,,1.8,1.8,754,90.0,,35.0,2005-03-10,True,1,1800 MHz,Socket 754,90 nm,,35 W,"Mar 10th, 2005",baraazaid/cpu-and-gpu-stats
a0094d2cf31c1bee317f,Turion 64 ML-34,Lancaster,1,,1.8,1.8,754,90.0,,35.0,2005-03-10,True,1,1800 MHz,Socket 754,90 nm,,35 W,"Mar 10th, 2005",baraazaid/cpu-and-gpu-stats
06bbe29fe5c6cc4e16ae,Turion 64 ML-37,Lancaster,1,,2.0,2.0,754,90.0,,35.0,2005-03-10,True,1,2000 MHz,Socket 754,90 nm,,35 W,"Mar 10th, 2005",baraazaid/cpu-and-gpu-stats
50fdc77aca2f344ccac6,Turion 64 ML-40,Lancaster,1,,2.2,2.2,754,90.0,,35.0,2005-06-22,True,1,2.2 GHz,Socket 754,90 nm,,35 W,"Jun 22nd, 2005",baraazaid/cpu-and-gpu-stats
